feature,coefficient
intercept,-1.294382750570905
sex_Male,0.6391425531290341
age_band_35-49,-0.11811612521084036
age_band_50-64,-1.4140129840061715
age_band_65+,-1.5404199782269792
education_No college,-0.27685328937979264
risk_score_z,0.4553245248851158
