sex,age_band,education,risk_tier,n_people,active_rate,mean_net_gain_loss_usd,median_net_gain_loss_usd,p_loss_over_500,p_loss_over_2000,p_loss_over_5000
Female,18-34,B.A. or higher,medium,2278,0.2115891132572432,-228.4081640556409,0.0,0.12510974539069358,0.08779631255487269,0.019315188762071993
Female,18-34,No college,medium,1887,0.17859035506094328,-166.15530301073136,0.0,0.10174880763116058,0.06412294647588765,0.011658717541070483
Female,35-49,B.A. or higher,medium,2233,0.2051052395879982,-174.20820240147788,0.0,0.11733094491715182,0.0761307657859382,0.019256605463502014
Female,35-49,No college,medium,1935,0.16589147286821707,-140.89044044573643,0.0,0.09405684754521963,0.056847545219638244,0.009302325581395349
Female,50-64,B.A. or higher,low,605,0.047933884297520664,-31.443366942148767,0.0,0.026446280991735537,0.003305785123966942,0.0
Female,50-64,No college,low,571,0.04553415061295972,-29.720218968914185,0.0,0.024518388791593695,0.0035026269702276708,0.0
Female,65+,B.A. or higher,low,300,0.03666666666666667,-3.4797411249999937,0.0,0.0033333333333333335,0.0,0.0
Female,65+,No college,low,208,0.009615384615384616,-4.031835283954326,0.0,0.004807692307692308,0.0,0.0
Male,18-34,B.A. or higher,high,4475,0.5101675977653631,-1860.018515195531,0.0,0.31754189944134076,0.293854748603352,0.25162011173184357
Male,18-34,No college,high,3833,0.39681711453169843,-1146.4573914353969,0.0,0.24054265588312027,0.2209757370206105,0.18366814505609183
Male,35-49,B.A. or higher,high,4528,0.47614840989399293,-1348.634200393165,0.0,0.29328621908127206,0.2751766784452297,0.22681095406360424
Male,35-49,No college,high,3831,0.37405377186113287,-915.2107311372357,0.0,0.22683372487601147,0.21064996084573218,0.17462803445575567
Male,50-64,B.A. or higher,high,1267,0.12628255722178375,-516.5972077446725,0.0,0.07971586424625099,0.0734017363851618,0.06393054459352802
Male,50-64,No college,medium,1090,0.0908256880733945,-108.15806680428138,0.0,0.05045871559633028,0.03394495412844037,0.012844036697247707
Male,65+,B.A. or higher,low,502,0.061752988047808766,-18.914894540587653,0.0,0.0199203187250996,0.0,0.0
Male,65+,No college,low,457,0.05032822757111598,-23.284774681345727,0.0,0.019693654266958426,0.0,0.0
